,content,id,lat,location,lon,time,user,user_id
0,The lining of this 3 piece ensemble is silk (of course) and you will notice the matching vest has a full wool backi… https://t.co/2Mh2E9H1Cr,972240618637406209,,"Boston,MA",,2018-03-09 22:40:01,BioProtean,47269639
1,My keen sartorial eye can spot a bespoke suit instantly. Notice the hand finished FUNCTIONAL button holes on the sl… https://t.co/sUVJ5wk8Rs,972238388924502017,,"Boston,MA",,2018-03-09 22:31:09,BioProtean,47269639
2,Giving feedback to the teams. @LISC_BOSTON. https://t.co/4tiMj9xtqw,972235270354546688,,The BURY,,2018-03-09 22:18:46,karlz617,104489166
3,Oh boyyyyyy! It looks like @neverfal_ stole jonmarcantonio wig in preparations for next weeks… https://t.co/Frj8kd0z9i,972234984760184832,-71.0955,"Boston,MA",42.34734,2018-03-09 22:17:38,MeggieBATC,21820170
4,@Hazukari Aw crap,972232046679613440,,02139,,2018-03-09 22:05:57,hoover_dam,35197742
5,The snow is melting and the sun has peeked her head through the clouds... it’s Friday! Come on… https://t.co/9OygNClTD3,972230552152657921,-71.09686,"CENTRAL SQ., Cambridge, MA",42.36117,2018-03-09 22:00:01,centralbtlwine,59888158
6,Aquela sofrênciaaaaaaa ♥️ @ZNC_Oficial @ House of Blues Boston https://t.co/FrAQEwPsAb,972229953965215745,-71.0955,"Lowell, MA",42.34734,2018-03-09 21:57:38,mandinovais,49045662
7,@ggiulia Mandar um email perguntando o que aconteceu? Problema de fuso horário?,972225337626103809,,"Boston,MA",,2018-03-09 21:39:18,guischmitt,11550142
8,Our team in Collective Learning group in MIT Media Lab https://t.co/tlBIQwxWnE,972222513072738304,,"New York, USA",,2018-03-09 21:28:04,habidatum,2458511030
9,The front of 1 Silber Way @BUQuestrom. @BU_Tweets @bualumni  #BU #Boston @universalhub https://t.co/9Ra6Dqvmyy,972222379123494912,,"Everett, MA",,2018-03-09 21:27:32,JaredMay76,238178896
10,I made it i left at 6am from Baltimore.  I couldn't go to the hotel… https://t.co/LYVIH2H3XU,972220808260210688,-71.0955,earth,42.34734,2018-03-09 21:21:18,db1cg,20532803
11,"R I P
.
.
.
#photography 
#cigarette 
#architecture 
#blackandwhitephoto @ Boston Architectural… https://t.co/jB8J6Q0vJ8",972218002031640576,-71.0857599,"Massachusetts, USA",42.34847,2018-03-09 21:10:09,wamkabir,151383981
12,Scrolling through your Insta feed looking for dinner plan inspo and then💥BOOM💥Spicy Thai street… https://t.co/zPbwDe5qcP,972217983224500224,-71.10154,"Boston,MA",42.3642899,2018-03-09 21:10:04,LittleDonkeyBos,709497866130231296
13,In 4 hrs: Anti-Folk but Pro-Equality: Frankie Cosmology on WMBR's Spelunking Program,972215452586962945,-71.083889,"Cambridge, MA",42.362222,2018-03-09 21:00:01,wmbr,15673749
14,I'm so exciteddddddddd!!!!!!!!! omdhq @db1cg @stukershaw @ House of Blues Boston https://t.co/tLpYmnDpiE,972215367446810625,-71.0955,boston,42.34734,2018-03-09 20:59:41,strangeasang3ls,22862869
15,"#LagunitasIPA #LittleSumpinSumpinAle (at @LittleSteves Pizzeria in Boston, MA) https://t.co/4bUOPBXU3L https://t.co/vkF1V6x50Y",972213775108632576,-71.08871448,"Roxbury, MA",42.3469659,2018-03-09 20:53:21,ENIGMUE,55633313
16,"There might be snow on the ground but spring is around the corner. Stinging nettle malfatti,… https://t.co/kzMocQVqOP",972213376398000130,-71.0949,"Boston,MA",42.36873,2018-03-09 20:51:46,mtthwbullock,755194253479936001
17,"🍖🍖🍖Daydreaming about today’s lunch at @EatalyBoston’s Terra! Veal breast with smoky kale, studded with olives. So.… https://t.co/owNxOPFdiu",972212854974709761,,"Boston,MA",,2018-03-09 20:49:42,thehungrymouse,16696981
18,The man himself... #masterclass #berklee #walkingbass #doublebass #uprightbass #jazz… https://t.co/oSTh0jX02v,972212218845716483,-71.08705233,"Boston,MA",42.34705943,2018-03-09 20:47:10,GreenMouziqe,4847142340
19,"🤞🏿 (@ Hunt's Photo &amp; Video in Boston, MA) https://t.co/ocOjeve5xz",972208470366785536,-71.0959473,"Roxbury, MA",42.34858748,2018-03-09 20:32:16,ENIGMUE,55633313
20,On est en train d'étudier Windows serveur 2016. à Massachusetts Institute of Technology (MIT) https://t.co/ehm7QYbcXY,972201948870045697,-71.09167506,"Montréal, Québec",42.35912365,2018-03-09 20:06:21,Waseda1882,1727725909
21,They’re good eggs. @ Boston Conservatory at Berklee https://t.co/j4tIkVO25l,972197408493973504,-71.08998,"Massachusetts, USA",42.34614,2018-03-09 19:48:19,MarekKrawczyk,14772808
22,BOSTON RUNNERS: @tracksmith now has @NTRecovery pants available during store hours until Boston. Free to all runner… https://t.co/RzqSQ3w9fx,972189841692733440,,"Boston,MA",,2018-03-09 19:18:15,LouisSerafini,1387712342
23,THU MAR/15: Don't miss the on-campus screening by @MITListArts of this important #film about #women's reproductive… https://t.co/mner6zeY8O,972189068439191552,,"Cambridge, MA",,2018-03-09 19:15:10,SecularMIT,783629079966867456
24,#mltalks required reading Snow Crash and Diamond Age @ MIT Media Lab https://t.co/5Kyae4A7pw,972187132310839296,-71.0875,"iPhone: 42.399338,-71.302673",42.36021,2018-03-09 19:07:29,davidrose,6034992
25,Presenting a fascinating clinical vignette poster at #sgimne18 #va #bmc @BMCimRES https://t.co/wfFBAP9q6N,972186112155414528,,"Boston,MA",,2018-03-09 19:03:26,ameiri18,294839472
26,Nettle pillow #nettlepillow #notahashtag #nettlecheese bondircambridge @ Bondir Restaurant https://t.co/217HGc8VRF,972185878822039553,-71.0977599,"Cambridge, MA",42.36829,2018-03-09 19:02:30,jwadebond,118948695
27,"In 4 hrs: Women, History, and Freedom on WMBR's What's Left Program",972185256550977536,-71.083889,"Cambridge, MA",42.362222,2018-03-09 19:00:02,wmbr,15673749
28,"MIT Sloan Healthcare &amp; BioInnovations Conference today! Personalized medicine is getting closer and closer every day.
#hope",972185087000416262,,"Portsmouth, New Hampshire",,2018-03-09 18:59:21,stefanyshaheen,76122284
29,"And on some Friday’s, your often thankless work is full of thanks...… https://t.co/YX4uWhFCMh",972184596082171904,-71.08705233,"Boston,MA",42.34705943,2018-03-09 18:57:24,cdivas1028,153971584
31,"VERY excited to see @SkinnyLister back at the @MidEastClub in Cambridge, Mass. tomorrow. If you… https://t.co/wMQuDPifoS",972174764432412672,-71.10143,"Massachusetts, USA",42.36386,2018-03-09 18:18:20,FatCityMagazine,3226596676
32,Do you have your $13 ticket for this weekend yet?!? Link in bio! #DanceHappensHere #Repost… https://t.co/IDwGj6DX5p,972174523645743106,-71.10233,536 Mass Ave. Cambridge MA,42.36419,2018-03-09 18:17:23,DanceComplex,2218022312
33,Absolutely phenomenal OSA symposium! @ Boston University https://t.co/b2ceVjyBjn,972172077284446209,-71.09953,"Windsor, CT",42.34958,2018-03-09 18:07:39,SLipmanMusic,234614980
34,"Boston, mixing architectures.

#MIT #BerkleeCollegeOfMusic https://t.co/pqYeYhA9Tc",972170048960856064,,"New York, NY",,2018-03-09 17:59:36,ciresirch,568397871
35,@Bowsnonk https://t.co/6i9o3OVpBe,972169382712561664,,02139,,2018-03-09 17:56:57,hoover_dam,35197742
36,"@BRUBromley Disproportionately discriminates against women/families, and makes it a huge drag for people coming via… https://t.co/F7ZFCRMAU2",972168555365109760,,02139,,2018-03-09 17:53:40,hoover_dam,35197742
